,Alliance,,Faction,,Air Assault,Armored,Combined Arms,Light Infantry,Mechanized,Motorized,Support,Amphibious Assault
,BLUEFOR,,,,,,,,,,,
,,,ADF,,"3rd Battalion, Royal Australian Regiment",,3rd Brigade,,"1st Battalion, Royal Australian Regiment",,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,BAF,,"2nd Battalion, Parachute Regiment",Queen's Royal Hussars Battle Group,3rd Division Battle Group,,1 Yorks Battle Group,,Royal Logistics Corps Battle Group,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,CAF,,"3rd Battalion, Royal Canadian Regiment",Lord Strathcona's Horse Regiment,1 Canadian Mechanized Brigade Group,,"1st Battalion, Royal 22e Régiment",The 12e Régiment Blindé du Canada,6 Canadian Combat Support Brigade,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,USA,,504th Paracute Infantry Regiment,37th Armored Regiment,1st Infantry Division,10th Mountain Division,1st Cavalry Regiment,2nd Cavalry Stryker Brigade,497th Combat Sustainment Support Battalion,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,USMC,,,1st Tank Battalion,31st Marine Expeditionary Unit,1st Marines Regimental Combat Team,,3rd Light Armored Recon Battalion,2nd Marine Logistics Group,4th Marines Amphibious Ready Group
,,,,,,,,,,,,
,INDEPENDENT,,,,,,,,,,,
,,,CRF,,,,51st Wolverine Battalion,,,,,
,,,,,,,,,,,,
,,,IMF,,,Irregular Armored Squadron,Irregular Battle Group,Irregular Light Infantry,Irregular Mechanized Platoon,Irregular Motorized Platoon,Irregular Fire Support Group,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,MEI,,,Irregular Armored Squadron,Irregular Battle Group,Irregular Light Infantry,Irregular Mechanized Platoon,Irregular Motorized Platoon,Irregular Fire Support Group,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,GFI,,55th Airborne Brigade,16th Armored Division,21st Division,64th Infantry Division,77th Infantry Division,30th Infantry Division,75th Logistics Brigade,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,TLF,,1st Commando Brigade,4th Armored Brigade,1st Army,,66th Mechanized Infantry Brigade,51st Motorized Infantry Brigade,Land Forces Logistics Command,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,WPMC,,Murk Water Air Wing,,Manticore Security Task Force,Overwatch 6 Patrol Group,,,,
,,,,,,,,,,,,
,PAC,,,,,,,,,,,
,,,PLA,,161st Air Assault Brigade,195th Heavy Combined Arms Brigade,118th Combined Arms Brigade,149th Mountain Infantry Brigade,,112th Medium Combined Arms Brigade,80th Support Brigade,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,PLAAGF,,,9th Heavy Combined Arms Battalion,14th Amphibious Combined Arms Brigade,,4th Medium Combined Arms Battalion,,,14th Amphibious Combined Arms Brigade
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,PLANMC,,4th Marine Special Combat Battalion,3rd Marine Heavy Battalion,5th Marine Combined Arms Brigade,4th Marine Special Combat Battalion,,7th Marine Medium Battalion,17th Marine Support Battalion,5th Marine Combined Arms Brigade
,,,,,,,,,,,,
,REDFOR,,,,,,,,,,,
,,,RGF,,,6th Separate Tank Brigade,49th Combined Arms Army,1398th Separate Reconnaissance Battalion,205th Separate Motor Rifle Brigade,3rd Motor Rifle Brigade,78th Detached Logistics Brigade,336th Guards Naval Infantry Brigade
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,VDV,,217th Guards Airborne Regiment,104th Tank Battalion,7th Guards Mountain Air Assault Division,,108th Guards Air Assault Regiment,,150th Support Battalion,7th Guards Mountain Air Assault Division
